n; comparisons; moves;
100; 1180; 507; 
200; 2458; 882; 
300; 3924; 1448; 
400; 5465; 1748; 
500; 7570; 2972; 
600; 8946; 3398; 
700; 10970; 4195; 
800; 12421; 4391; 
900; 17151; 6870; 
1000; 17341; 6190; 
