n; comparisons; moves;
100; 554; 223; 
200; 1314; 613; 
300; 2121; 1076; 
400; 3023; 1449; 
500; 4395; 2064; 
600; 5121; 2568; 
700; 5498; 2489; 
800; 6681; 3043; 
900; 7429; 3544; 
1000; 8952; 3703; 
