n; comparisons; moves;
100; 1214; 672; 
200; 2826; 1544; 
300; 4607; 2488; 
400; 6465; 3488; 
500; 8336; 4488; 
600; 10373; 5576; 
700; 12425; 6676; 
800; 14485; 7776; 
900; 16582; 8876; 
1000; 18687; 9976; 
