n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; duration;
1000; 10; 1; 9; 10; 9; 9; 9; 8; 10; 10; 7; 10; 9; 10; 10; 10; 9; 10; 10; 10; 9; 10; 10; 10; 8; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000994; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,001004; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000998; 0,000000; 0,000000; 0,000000; 0,000000; 0,000998; 
2000; 11; 11; 11; 10; 10; 10; 11; 11; 9; 11; 11; 11; 11; 11; 11; 11; 11; 11; 11; 11; 11; 11; 11; 11; 11; 0,000000; 0,001002; 0,000000; 0,000000; 0,001002; 0,000000; 0,000995; 0,000000; 0,000000; 0,000000; 0,001003; 0,000000; 0,001003; 0,000000; 0,000000; 0,001013; 0,000000; 0,000980; 0,000000; 0,000000; 0,001002; 0,000000; 0,000000; 0,001000; 0,000000; 
3000; 8; 10; 11; 12; 12; 12; 11; 11; 11; 9; 10; 12; 12; 11; 11; 11; 12; 11; 12; 11; 12; 11; 11; 12; 11; 0,001006; 0,000000; 0,000992; 0,000000; 0,000000; 0,001005; 0,000000; 0,001000; 0,000000; 0,000998; 0,000000; 0,000000; 0,001000; 0,000000; 0,001000; 0,000000; 0,000000; 0,001000; 0,000000; 0,001038; 0,000000; 0,000965; 0,000000; 0,000000; 0,001040; 
4000; 12; 12; 12; 12; 12; 12; 12; 12; 9; 12; 12; 12; 9; 11; 11; 12; 11; 11; 12; 12; 12; 10; 11; 12; 11; 0,000954; 0,000000; 0,001009; 0,000000; 0,000997; 0,000995; 0,000000; 0,000998; 0,000000; 0,001002; 0,001000; 0,000000; 0,001000; 0,001002; 0,000000; 0,001066; 0,000000; 0,000997; 0,000993; 0,000000; 0,001000; 0,000000; 0,001007; 0,000000; 0,001014; 
5000; 10; 12; 12; 12; 13; 12; 9; 12; 12; 12; 12; 12; 13; 12; 13; 12; 11; 12; 12; 12; 13; 13; 13; 12; 10; 0,000989; 0,000997; 0,000000; 0,000937; 0,001033; 0,000971; 0,000994; 0,001000; 0,000000; 0,001120; 0,000937; 0,001000; 0,000000; 0,001007; 0,001003; 0,000992; 0,000000; 0,001011; 0,000930; 0,001003; 0,000000; 0,001062; 0,000934; 0,001060; 0,000945; 
6000; 11; 10; 13; 8; 12; 12; 12; 12; 13; 13; 11; 13; 13; 13; 12; 13; 12; 12; 12; 12; 13; 12; 12; 13; 13; 0,001000; 0,000999; 0,001000; 0,001044; 0,001024; 0,000991; 0,001003; 0,001004; 0,000992; 0,001002; 0,000998; 0,001003; 0,000000; 0,001001; 0,000995; 0,001002; 0,000943; 0,001014; 0,000982; 0,001062; 0,001936; 0,001061; 0,000000; 0,001001; 0,001015; 
7000; 7; 12; 13; 13; 13; 8; 13; 13; 13; 12; 13; 13; 13; 12; 12; 11; 12; 10; 13; 10; 13; 12; 13; 13; 12; 0,000999; 0,001009; 0,000995; 0,000996; 0,001008; 0,000992; 0,001009; 0,000929; 0,002062; 0,001013; 0,000988; 0,001007; 0,000993; 0,001000; 0,001013; 0,000990; 0,000997; 0,001004; 0,001992; 0,001014; 0,001004; 0,000996; 0,000986; 0,001003; 0,001000; 
8000; 13; 11; 12; 13; 13; 13; 11; 13; 13; 13; 13; 12; 13; 13; 12; 13; 13; 13; 13; 13; 13; 13; 13; 13; 13; 0,000996; 0,002005; 0,001010; 0,001005; 0,001984; 0,001012; 0,000999; 0,002003; 0,000994; 0,001007; 0,001995; 0,001003; 0,000996; 0,001004; 0,001991; 0,001013; 0,000995; 0,001997; 0,000993; 0,001017; 0,001990; 0,001012; 0,000986; 0,001003; 0,001993; 
9000; 13; 13; 13; 14; 13; 13; 13; 13; 13; 13; 13; 14; 14; 13; 13; 13; 13; 13; 13; 12; 10; 13; 13; 12; 13; 0,000998; 0,002002; 0,001012; 0,001988; 0,001003; 0,001998; 0,001017; 0,001989; 0,000996; 0,002000; 0,001006; 0,001997; 0,001010; 0,000988; 0,002006; 0,000999; 0,000998; 0,002003; 0,001008; 0,000993; 0,001987; 0,001013; 0,001996; 0,001003; 0,002001; 
10000; 13; 14; 13; 14; 13; 13; 14; 14; 12; 13; 14; 14; 13; 13; 13; 13; 12; 13; 14; 12; 13; 13; 12; 14; 14; 0,001996; 0,001008; 0,001996; 0,001002; 0,001997; 0,000999; 0,002001; 0,000997; 0,002003; 0,002002; 0,000998; 0,002005; 0,001000; 0,001987; 0,001007; 0,002002; 0,001010; 0,001926; 0,002048; 0,001944; 0,001055; 0,001982; 0,000973; 0,002073; 0,001992; 
