n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; duration;
1000; 10; 1; 10; 10; 10; 9; 10; 6; 10; 6; 10; 10; 10; 10; 10; 7; 10; 10; 10; 9; 10; 9; 10; 9; 10; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,001041; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000957; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,001049; 0,000000; 
2000; 11; 10; 11; 11; 11; 11; 8; 11; 11; 11; 11; 11; 11; 11; 11; 11; 11; 11; 9; 1; 11; 11; 11; 11; 10; 0,000000; 0,000000; 0,000949; 0,000000; 0,000997; 0,000000; 0,000000; 0,001002; 0,000000; 0,000000; 0,000996; 0,000000; 0,000000; 0,000000; 0,000999; 0,000000; 0,000000; 0,000000; 0,001001; 0,000000; 0,000000; 0,000999; 0,000000; 0,000000; 0,000000; 
3000; 12; 10; 12; 12; 12; 11; 10; 12; 11; 11; 8; 12; 10; 11; 12; 11; 11; 10; 12; 11; 12; 12; 12; 10; 1; 0,000000; 0,000000; 0,000999; 0,000000; 0,001002; 0,000000; 0,000000; 0,000998; 0,000000; 0,001000; 0,000000; 0,000000; 0,001000; 0,000000; 0,001000; 0,000000; 0,000000; 0,001000; 0,000000; 0,001000; 0,000000; 0,000000; 0,001000; 0,000000; 0,000000; 
4000; 12; 12; 12; 12; 6; 12; 12; 10; 12; 12; 12; 10; 12; 12; 12; 11; 12; 9; 12; 11; 8; 11; 12; 12; 1; 0,000000; 0,001000; 0,000000; 0,001000; 0,000000; 0,001000; 0,000000; 0,001000; 0,000000; 0,001000; 0,000000; 0,001000; 0,001003; 0,000000; 0,001005; 0,000994; 0,000000; 0,000999; 0,000000; 0,001000; 0,001002; 0,000000; 0,001007; 0,000000; 0,000991; 
5000; 8; 12; 12; 12; 12; 12; 13; 12; 12; 13; 13; 13; 10; 13; 12; 10; 13; 12; 12; 13; 12; 12; 11; 11; 12; 0,000999; 0,000000; 0,001000; 0,001003; 0,001011; 0,000990; 0,000000; 0,001011; 0,000991; 0,000994; 0,001000; 0,000000; 0,001000; 0,001000; 0,000000; 0,001000; 0,001000; 0,000000; 0,001000; 0,001000; 0,000000; 0,001000; 0,001000; 0,000000; 0,001000; 
6000; 13; 9; 12; 13; 13; 13; 13; 13; 13; 13; 12; 13; 12; 13; 13; 12; 13; 12; 13; 12; 11; 12; 9; 12; 9; 0,001001; 0,001005; 0,002001; 0,001003; 0,000995; 0,001003; 0,000995; 0,001075; 0,000984; 0,001013; 0,000936; 0,001048; 0,000000; 0,001015; 0,000998; 0,001006; 0,000994; 0,001013; 0,000996; 0,000921; 0,002006; 0,001069; 0,000989; 0,000000; 0,000997; 
7000; 13; 12; 9; 12; 12; 13; 12; 12; 12; 12; 13; 13; 13; 13; 13; 13; 13; 13; 13; 13; 10; 13; 12; 13; 12; 0,000990; 0,001000; 0,000940; 0,001004; 0,000998; 0,001000; 0,001000; 0,001055; 0,000943; 0,002056; 0,001001; 0,000952; 0,001059; 0,001001; 0,000992; 0,001005; 0,000998; 0,001015; 0,000983; 0,002012; 0,000988; 0,001004; 0,001011; 0,000933; 0,001055; 
8000; 13; 10; 13; 11; 10; 12; 11; 13; 13; 13; 13; 13; 13; 13; 13; 13; 10; 13; 13; 13; 13; 13; 10; 9; 13; 0,002000; 0,000995; 0,001001; 0,001011; 0,001997; 0,001001; 0,000991; 0,001000; 0,002000; 0,001013; 0,000989; 0,001000; 0,002004; 0,001002; 0,000999; 0,001996; 0,001001; 0,000996; 0,001006; 0,001994; 0,001005; 0,001003; 0,001005; 0,001927; 0,002001; 
9000; 14; 8; 13; 14; 13; 13; 13; 13; 12; 13; 13; 13; 13; 13; 13; 13; 13; 12; 13; 13; 13; 13; 13; 13; 13; 0,000996; 0,002000; 0,000999; 0,001000; 0,002072; 0,000991; 0,002006; 0,001007; 0,000993; 0,001995; 0,001006; 0,001995; 0,001006; 0,001001; 0,002007; 0,000998; 0,001006; 0,001996; 0,000992; 0,002014; 0,000997; 0,000999; 0,001984; 0,001012; 0,001000; 
10000; 12; 14; 13; 13; 13; 14; 14; 13; 14; 14; 13; 11; 14; 13; 13; 13; 13; 1; 13; 14; 12; 13; 10; 14; 13; 0,001995; 0,001999; 0,001005; 0,002000; 0,001002; 0,001993; 0,001000; 0,002006; 0,000996; 0,002007; 0,000996; 0,001997; 0,000993; 0,002002; 0,002014; 0,001000; 0,000995; 0,001996; 0,002002; 0,001008; 0,001992; 0,001009; 0,001988; 0,001004; 0,002011; 
11000; 14; 14; 14; 13; 12; 14; 14; 11; 14; 14; 13; 12; 13; 14; 14; 13; 13; 13; 13; 14; 13; 14; 14; 13; 13; 0,001980; 0,001999; 0,001000; 0,002008; 0,001999; 0,002001; 0,001992; 0,001936; 0,001058; 0,002013; 0,002001; 0,000991; 0,002001; 0,002005; 0,002006; 0,000997; 0,002002; 0,001990; 0,001937; 0,001061; 0,002000; 0,002009; 0,001002; 0,002003; 0,001999; 
12000; 13; 14; 10; 14; 13; 14; 13; 14; 14; 10; 14; 14; 14; 13; 14; 13; 14; 13; 13; 13; 12; 14; 14; 11; 10; 0,002000; 0,002000; 0,001001; 0,002002; 0,002985; 0,002011; 0,001002; 0,002002; 0,001995; 0,001991; 0,002009; 0,002004; 0,001996; 0,001999; 0,002000; 0,001996; 0,002006; 0,000994; 0,002004; 0,001998; 0,001992; 0,002004; 0,002007; 0,002000; 0,001996; 
13000; 14; 14; 14; 12; 14; 10; 13; 14; 14; 14; 14; 13; 11; 12; 14; 13; 13; 13; 14; 13; 13; 14; 10; 13; 13; 0,001997; 0,002007; 0,002008; 0,001993; 0,003007; 0,001990; 0,002003; 0,002006; 0,000998; 0,002989; 0,002004; 0,001993; 0,001934; 0,002000; 0,002063; 0,002002; 0,002008; 0,002005; 0,002988; 0,002004; 0,001931; 0,002005; 0,002062; 0,002985; 0,002019; 
