n; comparisons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; duration;
1000; 10; 10; 10; 8; 10; 8; 9; 10; 10; 10; 8; 10; 10; 10; 10; 10; 9; 9; 8; 10; 10; 10; 10; 10; 10; 0,001003; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,001004; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000999; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,000000; 0,001001; 0,000000; 0,000000; 
2000; 9; 11; 11; 11; 11; 11; 10; 11; 11; 11; 11; 11; 10; 11; 11; 11; 9; 11; 10; 4; 11; 11; 8; 10; 11; 0,000000; 0,000995; 0,000000; 0,000998; 0,000000; 0,000000; 0,000000; 0,001000; 0,000000; 0,000000; 0,000999; 0,000000; 0,000000; 0,001001; 0,000000; 0,000000; 0,000999; 0,000000; 0,000000; 0,000000; 0,000999; 0,000000; 0,000000; 0,000000; 0,000999; 
3000; 12; 11; 12; 12; 11; 12; 11; 12; 12; 11; 10; 11; 12; 11; 12; 10; 12; 12; 10; 9; 11; 11; 11; 11; 10; 0,001004; 0,000000; 0,000999; 0,000000; 0,001018; 0,000000; 0,000000; 0,000982; 0,000000; 0,001130; 0,000000; 0,000906; 0,000000; 0,000999; 0,000000; 0,000000; 0,001009; 0,000000; 0,001004; 0,000000; 0,000000; 0,001004; 0,000000; 0,001024; 0,000000; 
4000; 11; 12; 8; 12; 12; 12; 12; 11; 12; 11; 12; 12; 12; 11; 12; 12; 12; 12; 9; 12; 12; 12; 12; 12; 12; 0,000981; 0,001023; 0,000000; 0,000999; 0,000000; 0,000987; 0,000000; 0,000936; 0,001000; 0,000000; 0,001030; 0,000972; 0,000000; 0,001004; 0,000000; 0,000996; 0,000000; 0,000998; 0,001000; 0,000000; 0,000998; 0,000000; 0,001112; 0,000966; 0,000000; 
5000; 9; 12; 11; 12; 12; 12; 12; 12; 13; 13; 11; 12; 12; 13; 11; 12; 13; 11; 13; 12; 13; 12; 12; 10; 11; 0,000000; 0,001054; 0,001011; 0,000000; 0,000989; 0,001012; 0,000988; 0,000000; 0,001002; 0,000941; 0,001086; 0,000960; 0,000000; 0,000954; 0,001011; 0,000992; 0,000000; 0,001055; 0,001009; 0,000993; 0,000000; 0,001004; 0,001003; 0,000000; 0,000990; 
6000; 13; 10; 4; 12; 12; 13; 13; 12; 12; 13; 12; 12; 13; 12; 13; 12; 11; 11; 13; 13; 12; 12; 8; 12; 13; 0,001000; 0,000946; 0,001000; 0,001056; 0,001013; 0,000930; 0,001000; 0,001000; 0,000999; 0,001159; 0,000925; 0,000977; 0,001000; 0,001000; 0,001012; 0,000989; 0,000000; 0,001995; 0,001011; 0,000993; 0,001005; 0,000948; 0,001057; 0,000999; 0,000991; 
7000; 13; 11; 13; 13; 13; 13; 13; 13; 13; 13; 12; 13; 13; 13; 13; 13; 13; 13; 12; 10; 10; 10; 12; 13; 13; 0,001007; 0,000993; 0,000999; 0,001001; 0,000999; 0,001013; 0,000998; 0,000990; 0,001006; 0,000993; 0,002001; 0,001012; 0,000928; 0,001060; 0,001006; 0,000997; 0,000996; 0,001004; 0,001999; 0,000997; 0,001013; 0,000926; 0,001057; 0,001009; 0,000993; 
8000; 13; 13; 13; 12; 12; 13; 12; 12; 13; 12; 13; 13; 13; 13; 13; 12; 13; 13; 13; 13; 13; 13; 13; 13; 10; 0,000991; 0,001001; 0,002002; 0,000996; 0,001001; 0,000998; 0,002012; 0,000996; 0,000994; 0,000998; 0,002004; 0,000998; 0,001000; 0,001010; 0,001983; 0,001007; 0,001005; 0,000994; 0,002008; 0,000992; 0,001002; 0,001010; 0,001989; 0,001012; 0,000997; 
9000; 13; 13; 13; 13; 13; 13; 13; 9; 10; 12; 13; 13; 13; 13; 11; 13; 13; 13; 11; 14; 13; 14; 12; 13; 13; 0,001993; 0,001008; 0,002002; 0,000990; 0,002015; 0,000986; 0,001996; 0,001009; 0,001003; 0,001993; 0,001010; 0,000999; 0,001989; 0,001006; 0,002008; 0,001003; 0,000988; 0,002000; 0,001003; 0,001003; 0,001989; 0,000998; 0,002008; 0,001005; 0,001003; 
10000; 13; 13; 13; 13; 9; 13; 13; 13; 13; 13; 13; 13; 13; 13; 9; 13; 12; 13; 13; 9; 11; 14; 13; 13; 13; 0,001999; 0,001987; 0,001010; 0,001995; 0,001000; 0,002001; 0,000991; 0,002012; 0,001999; 0,001002; 0,001005; 0,001995; 0,000995; 0,001930; 0,002005; 0,002061; 0,002007; 0,000994; 0,001934; 0,001073; 0,002007; 0,001985; 0,001007; 0,002003; 0,001003; 
11000; 12; 12; 11; 13; 12; 14; 13; 11; 13; 13; 13; 12; 12; 14; 13; 13; 14; 14; 13; 14; 13; 14; 14; 14; 13; 0,001988; 0,002006; 0,001004; 0,002005; 0,001997; 0,001002; 0,001995; 0,001988; 0,002001; 0,001999; 0,001006; 0,002007; 0,001998; 0,000998; 0,001997; 0,002008; 0,002004; 0,000989; 0,001998; 0,001994; 0,002011; 0,000996; 0,002006; 0,001997; 0,001006; 
12000; 13; 13; 13; 13; 12; 13; 14; 14; 13; 14; 14; 13; 12; 14; 13; 14; 14; 14; 14; 14; 13; 14; 12; 14; 10; 0,001997; 0,002009; 0,001001; 0,002003; 0,001999; 0,001998; 0,002005; 0,002007; 0,000990; 0,001994; 0,002001; 0,002000; 0,002013; 0,001990; 0,002010; 0,001982; 0,002000; 0,001010; 0,001997; 0,002000; 0,002008; 0,001998; 0,001994; 0,001930; 0,002048; 
13000; 13; 13; 13; 12; 14; 14; 14; 13; 14; 14; 14; 14; 13; 11; 14; 13; 14; 14; 14; 14; 14; 14; 13; 14; 14; 0,001949; 0,002001; 0,001999; 0,002079; 0,002004; 0,001991; 0,002999; 0,001994; 0,001016; 0,002991; 0,001993; 0,001997; 0,002018; 0,001999; 0,002002; 0,001990; 0,002005; 0,002007; 0,001988; 0,002007; 0,001992; 0,002006; 0,001990; 0,002011; 0,002982; 
14000; 14; 14; 14; 12; 8; 14; 13; 14; 14; 11; 10; 13; 14; 13; 14; 14; 14; 14; 14; 14; 11; 13; 14; 13; 14; 0,003004; 0,002012; 0,002002; 0,002996; 0,002001; 0,001991; 0,001935; 0,003002; 0,002000; 0,002000; 0,003075; 0,001998; 0,001999; 0,001994; 0,002004; 0,002997; 0,002008; 0,002001; 0,001991; 0,003012; 0,001983; 0,002008; 0,001991; 0,003014; 0,002001; 
15000; 14; 12; 12; 8; 13; 14; 13; 12; 14; 14; 11; 13; 14; 14; 14; 14; 14; 14; 13; 14; 14; 13; 13; 14; 13; 0,001993; 0,003005; 0,001987; 0,003011; 0,002992; 0,002009; 0,002995; 0,002002; 0,002934; 0,003075; 0,001993; 0,002004; 0,002999; 0,001996; 0,002990; 0,002006; 0,002003; 0,003001; 0,001998; 0,003001; 0,001999; 0,003007; 0,001994; 0,002977; 0,003017; 
16000; 13; 11; 14; 14; 11; 9; 14; 14; 13; 14; 11; 14; 14; 14; 14; 13; 13; 14; 14; 13; 14; 12; 14; 14; 12; 0,001992; 0,003000; 0,002014; 0,003006; 0,001995; 0,003002; 0,002001; 0,002997; 0,002998; 0,001999; 0,003004; 0,001999; 0,002998; 0,003004; 0,001992; 0,003007; 0,001993; 0,003016; 0,001994; 0,002987; 0,002015; 0,002992; 0,003000; 0,001999; 0,003012; 
