n; height;
10; 5; 5; 4; 6; 8; 6; 7; 6; 5; 6; 5; 5; 5; 5; 4; 7; 7; 4; 5; 9; 
20; 7; 6; 8; 8; 10; 8; 9; 8; 7; 9; 8; 8; 7; 6; 9; 8; 10; 6; 8; 10; 
30; 9; 8; 10; 8; 11; 9; 11; 9; 8; 11; 10; 8; 9; 7; 11; 10; 11; 8; 9; 11; 
40; 9; 9; 11; 9; 14; 10; 11; 10; 9; 12; 10; 9; 10; 8; 11; 11; 11; 10; 9; 12; 
50; 10; 10; 11; 9; 14; 11; 12; 12; 11; 14; 11; 9; 12; 9; 13; 12; 13; 10; 9; 12; 
60; 11; 10; 11; 11; 14; 12; 12; 13; 12; 15; 11; 10; 12; 9; 13; 13; 13; 11; 10; 14; 
70; 11; 11; 12; 11; 15; 12; 13; 13; 12; 15; 11; 10; 13; 9; 13; 13; 13; 11; 10; 14; 
80; 11; 11; 12; 11; 15; 12; 13; 13; 12; 15; 12; 10; 14; 9; 13; 13; 13; 11; 12; 14; 
90; 11; 11; 12; 11; 15; 13; 13; 13; 13; 15; 12; 11; 15; 10; 13; 14; 14; 12; 12; 15; 
100; 12; 12; 12; 12; 15; 13; 13; 13; 13; 16; 12; 12; 15; 10; 14; 15; 15; 12; 12; 16; 
110; 12; 13; 12; 12; 15; 13; 13; 13; 14; 16; 12; 12; 15; 11; 14; 15; 15; 12; 13; 16; 
120; 12; 13; 12; 12; 15; 13; 14; 13; 15; 16; 12; 12; 15; 11; 15; 15; 15; 12; 13; 16; 
130; 13; 13; 12; 12; 15; 13; 15; 13; 15; 16; 13; 12; 16; 11; 15; 15; 15; 12; 13; 16; 
140; 14; 13; 12; 13; 16; 14; 15; 14; 15; 16; 13; 12; 16; 11; 15; 15; 15; 12; 13; 16; 
150; 14; 14; 12; 13; 16; 14; 15; 14; 15; 16; 13; 12; 16; 12; 15; 15; 15; 13; 13; 16; 
160; 14; 14; 12; 13; 16; 14; 15; 14; 15; 16; 13; 12; 16; 13; 16; 15; 16; 13; 14; 16; 
170; 14; 15; 12; 13; 16; 14; 15; 15; 16; 16; 13; 12; 16; 13; 16; 15; 17; 13; 15; 16; 
180; 14; 15; 13; 13; 16; 14; 16; 15; 16; 16; 13; 12; 16; 15; 16; 16; 17; 13; 15; 16; 
190; 14; 15; 13; 13; 16; 14; 16; 16; 17; 16; 13; 12; 17; 15; 16; 16; 17; 14; 15; 16; 
200; 15; 15; 13; 14; 16; 15; 16; 16; 17; 17; 13; 13; 17; 15; 16; 16; 17; 14; 15; 17; 
210; 15; 15; 13; 14; 16; 15; 16; 16; 17; 17; 14; 13; 17; 15; 16; 17; 17; 14; 15; 17; 
