reps; height;;;;;;;;;
42500;80884;80722;80830;80976;81006;80908;80774;80792;80830;80722
43000;80684;80523;80612;80782;80816;80715;80570;80590;80612;80523
43500;80483;80328;80424;80573;80600;80501;80359;80387;80424;80328
44000;80268;80136;80241;80370;80402;80310;80151;80186;80241;80136
44500;80073;79956;80040;80158;80203;80118;79938;79992;80040;79956
45000;79875;79739;79856;79969;80001;79921;79735;79789;79856;79739
45500;79685;79556;79643;79787;79800;79706;79535;79587;79643;79556
46000;79486;79367;79451;79587;79589;79507;79318;79385;79451;79367
46500;79286;79142;79240;79403;79377;79292;79120;79219;79240;79142
47000;79082;78944;79043;79192;79171;79095;78934;79002;79043;78944
47500;78895;78757;78836;78988;78969;78890;78727;78791;78836;78757
48000;78695;78549;78611;78786;78773;78684;78528;78588;78611;78549
48500;78508;78363;78423;78588;78598;78502;78325;78374;78423;78363
49000;78330;78157;78225;78407;78401;78306;78135;78184;78225;78157
49500;78131;77957;78034;78208;78181;78100;77944;77982;78034;77957
50000;77928;77775;77855;78023;77980;77908;77776;77793;77855;77775
50500;77724;77579;77648;77814;77786;77707;77581;77619;77648;77579
51000;77525;77391;77469;77626;77594;77506;77393;77434;77469;77391
51500;77318;77199;77279;77430;77396;77282;77208;77252;77279;77199
52000;77141;76992;77096;77249;77196;77093;77022;77066;77096;76992
52500;76942;76799;76901;77083;77020;76918;76831;76884;76901;76799
53000;76732;76600;76691;76882;76827;76722;76653;76695;76691;76600
53500;76541;76393;76501;76678;76634;76534;76453;76495;76501;76393
54000;76341;76194;76306;76489;76444;76347;76265;76299;76306;76194
54500;76155;76017;76118;76314;76256;76157;76095;76105;76118;76017
55000;75945;75820;75915;76133;76068;75958;75912;75898;75915;75820
55500;75760;75628;75715;75936;75885;75774;75746;75715;75715;75628
56000;75575;75453;75504;75752;75700;75587;75565;75529;75504;75453
56500;75374;75267;75321;75548;75510;75400;75360;75342;75321;75267
57000;75202;75070;75117;75362;75314;75234;75167;75156;75117;75070
57500;75021;74893;74915;75182;75113;75031;74978;74966;74915;74893
58000;74858;74706;74717;75010;74913;74848;74806;74784;74717;74706
58500;74685;74528;74533;74811;74735;74649;74634;74585;74533;74528
59000;74492;74356;74343;74637;74550;74472;74443;74393;74343;74356
59500;74294;74154;74173;74441;74365;74265;74269;74214;74173;74154
60000;74120;73999;73985;74251;74193;74091;74083;74019;73985;73999
60500;73933;73800;73805;74062;74011;73901;73888;73843;73805;73800
61000;73732;73612;73614;73868;73832;73731;73692;73670;73614;73612
61500;73540;73426;73423;73678;73634;73546;73514;73484;73423;73426
62000;73367;73250;73237;73487;73438;73367;73341;73297;73237;73250
62500;73183;73055;73049;73295;73250;73189;73159;73118;73049;73055
63000;73009;72879;72877;73102;73096;73013;72983;72938;72877;72879
63500;72837;72693;72681;72931;72910;72849;72789;72756;72681;72693
64000;72659;72517;72501;72754;72728;72665;72599;72570;72501;72517
64500;72482;72336;72325;72589;72542;72486;72409;72376;72325;72336
65000;72300;72152;72158;72408;72364;72307;72261;72195;72158;72152
65500;72110;71970;71969;72228;72193;72138;72080;72026;71969;71970
66000;71947;71785;71779;72055;72023;71956;71892;71844;71779;71785
66500;71768;71615;71593;71853;71852;71762;71711;71658;71593;71615
67000;71602;71450;71420;71680;71667;71583;71542;71479;71420;71450
67500;71434;71278;71244;71518;71485;71402;71365;71314;71244;71278
68000;71270;71099;71065;71337;71312;71237;71198;71133;71065;71099
68500;71111;70923;70890;71163;71141;71050;71024;70973;70890;70923
69000;70935;70741;70704;70980;70971;70870;70860;70805;70704;70741
69500;70750;70590;70537;70809;70785;70693;70683;70628;70537;70590
70000;70559;70422;70366;70639;70609;70529;70519;70445;70366;70422
70500;70381;70251;70197;70459;70452;70349;70347;70277;70197;70251
71000;70209;70074;70025;70279;70271;70199;70162;70105;70025;70074
71500;70029;69871;69828;70100;70105;70030;69993;69935;69828;69871
72000;69871;69707;69667;69933;69930;69852;69821;69762;69667;69707
72500;69706;69535;69499;69774;69732;69685;69647;69579;69499;69535
73000;69521;69358;69340;69602;69570;69490;69482;69407;69340;69358
73500;69347;69170;69182;69405;69396;69324;69323;69247;69182;69170
74000;69196;68999;69022;69226;69250;69147;69144;69051;69022;68999
74500;69024;68836;68829;69054;69060;68991;68963;68872;68829;68836
75000;68852;68659;68650;68894;68876;68820;68793;68693;68650;68659
75500;68679;68485;68465;68727;68702;68654;68637;68521;68465;68485
76000;68505;68306;68291;68557;68535;68498;68477;68344;68291;68306
76500;68335;68144;68136;68385;68382;68312;68306;68165;68136;68144
77000;68170;67993;67993;68204;68194;68164;68146;67991;67993;67993
77500;68012;67816;67806;68048;68019;67997;67984;67837;67806;67816
78000;67835;67634;67655;67882;67849;67830;67795;67663;67655;67634
78500;67670;67462;67485;67716;67689;67666;67630;67499;67485;67462
79000;67503;67286;67305;67555;67514;67491;67458;67328;67305;67286
79500;67306;67123;67150;67391;67335;67328;67280;67174;67150;67123
80000;67152;66971;66981;67229;67175;67163;67113;67003;66981;66971
80500;66994;66801;66847;67083;67021;66987;66946;66836;66847;66801
81000;66818;66632;66688;66906;66856;66845;66775;66658;66688;66632
81500;66650;66483;66522;66739;66672;66667;66617;66479;66522;66483
82000;66482;66308;66360;66553;66509;66506;66453;66326;66360;66308
82500;66312;66142;66206;66400;66339;66338;66302;66168;66206;66142
83000;66158;65969;66038;66218;66201;66165;66148;66012;66038;65969
83500;66004;65807;65878;66064;66025;66010;65981;65848;65878;65807
84000;65848;65650;65711;65907;65870;65841;65836;65668;65711;65650
84500;65680;65481;65541;65730;65713;65680;65671;65497;65541;65481
85000;65527;65327;65372;65566;65534;65512;65525;65331;65372;65327
85500;65354;65169;65210;65405;65370;65354;65365;65154;65210;65169
86000;65171;65002;65048;65235;65211;65186;65199;64992;65048;65002
86500;65004;64832;64895;65073;65027;65036;65046;64853;64895;64832
87000;64851;64658;64728;64921;64869;64862;64891;64708;64728;64658
87500;64712;64498;64578;64766;64704;64698;64738;64544;64578;64498
88000;64538;64341;64416;64610;64545;64553;64571;64383;64416;64341
88500;64358;64190;64268;64455;64389;64391;64394;64231;64268;64190
89000;64202;64036;64112;64307;64233;64235;64237;64077;64112;64036
89500;64021;63877;63968;64150;64060;64054;64087;63925;63968;63877
90000;63884;63708;63797;63972;63900;63904;63930;63768;63797;63708
90500;63726;63545;63643;63807;63744;63728;63781;63599;63643;63545
91000;63542;63376;63467;63652;63590;63564;63616;63430;63467;63376
91500;63385;63235;63294;63499;63437;63434;63452;63266;63294;63235
92000;63237;63074;63126;63334;63268;63274;63276;63094;63126;63074
92500;63087;62907;62965;63177;63107;63125;63121;62948;62965;62907
93000;62947;62744;62823;63012;62948;62973;62943;62792;62823;62744
93500;62800;62592;62648;62852;62807;62801;62793;62630;62648;62592
94000;62634;62429;62500;62693;62646;62648;62618;62469;62500;62429
94500;62484;62274;62353;62526;62486;62475;62467;62304;62353;62274
95000;62335;62122;62207;62352;62322;62325;62309;62145;62207;62122
95500;62178;61994;62053;62184;62159;62155;62135;61967;62053;61994
96000;62024;61844;61906;62038;61999;61990;61990;61811;61906;61844
96500;61868;61694;61747;61866;61852;61837;61842;61661;61747;61694
97000;61707;61546;61587;61705;61680;61684;61680;61500;61587;61546
97500;61563;61382;61423;61549;61503;61552;61532;61350;61423;61382
98000;61424;61235;61272;61394;61358;61422;61355;61191;61272;61235
98500;61257;61081;61120;61250;61199;61267;61209;61040;61120;61081
99000;61110;60949;60974;61083;61017;61136;61055;60889;60974;60949
99500;60926;60809;60817;60932;60858;60981;60903;60731;60817;60809
